"pair_id","claim_label","claim_kind","target_rank","target_taxa","contrast_taxa","pair_validation_status","expanded_reference_role","source_keys","claim_note","marker_id","claim_id","evidence_type","curator_note"
"F230R","Short freshwater macroinvertebrate recovery","broad_target","phylum","Freshwater Arthropoda","Non-arthropod templates","published_pair","positive_only","folmer1994|gibson2014|hajibabaei2019","F230R is a short multi-amplicon marker that showed high Arthropoda read and indicator recovery in the cited freshwater comparison.","COI","CLAIM_16","publication_claim","F230R is a short multi-amplicon marker that showed high Arthropoda read and indicator recovery in the cited freshwater comparison."
"FISH_F2_R1","Fish COI recovery","prefer_clade","class","Fishes","Arthropods","published_pair","off_target_only","ward2005|andean_fish2026","The shared reference contains arthropods and therefore tests only potential off-target binding; it cannot validate fish-family coverage or the regional Andean performance claim.","COI","CLAIM_17","publication_claim","The shared reference contains arthropods and therefore tests only potential off-target binding; it cannot validate fish-family coverage or the regional Andean performance claim."
"MOLLCOI253","Marine mollusk eDNA recovery","prefer_clade","phylum","Mollusca","Arthropods","published_pair","off_target_only","shi2024","The published study validated 24 mollusk species from 15 families and four marine eDNA samples; the shared arthropod reference assesses only potential off-target binding and cannot validate mollusk coverage.","COI","CLAIM_18","publication_claim","The published study validated 24 mollusk species from 15 families and four marine eDNA samples; the shared arthropod reference assesses only potential off-target binding and cannot validate mollusk coverage."
"ITS1_ITS4","UNITE fungal ITS catalog entry: ITS1 + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_white_et_al_1990|unite_primers","excludes Sordariomycetes | has central mismatches to some groups and Metazoa and Archaeorhizomycetes · White et al. 1990","ITS_FUNGAL","ITS_CLAIM_1","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"ITS1F_ITS4","UNITE fungal ITS catalog entry: ITS1F + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_gardes_bruns_1993|its_primary_white_et_al_1990|unite_primers","excludes basal fungi and Tulasnella | has central mismatches to some groups and Metazoa and Archaeorhizomycetes · Gardes & Bruns 1993 | White et al. 1990","ITS_FUNGAL","ITS_CLAIM_2","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"ITS1F_ITS4B","UNITE fungal ITS catalog entry: ITS1F + ITS4B","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_gardes_bruns_1993|unite_primers","excludes basal fungi and Tulasnella | excludes ca 40% of target taxa · Gardes & Bruns 1993","ITS_FUNGAL","ITS_CLAIM_3","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"ITS3_ITS4","UNITE fungal ITS catalog entry: ITS3 + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_white_et_al_1990|unite_primers","excludes Cantharellales | has central mismatches to some groups and Metazoa and Archaeorhizomycetes · White et al. 1990","ITS_FUNGAL","ITS_CLAIM_4","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"FITS7_ITS4","UNITE fungal ITS catalog entry: fITS7 + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_white_et_al_1990|its_primary_ihrmark_et_al_2012|unite_primers","has central mismatches to some groups and Metazoa and Archaeorhizomycetes | excludes ca 2% minor groups · White et al. 1990 | Ihrmark et al. 2012","ITS_FUNGAL","ITS_CLAIM_5","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"GITS7_ITS4","UNITE fungal ITS catalog entry: gITS7 + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_white_et_al_1990|its_primary_ihrmark_et_al_2012|unite_primers","has central mismatches to some groups and Metazoa and Archaeorhizomycetes | excludes ca 2% minor groups · White et al. 1990 | Ihrmark et al. 2012","ITS_FUNGAL","ITS_CLAIM_6","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"ITS86F_ITS4","UNITE fungal ITS catalog entry: ITS86F + ITS4","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_white_et_al_1990|its_primary_turenne_et_al_1998|unite_primers","has central mismatches to some groups and Metazoa and Archaeorhizomycetes | excludes ca 2% minor groups and Tulasnellaceae · White et al. 1990 | Turenne et al. 1998","ITS_FUNGAL","ITS_CLAIM_7","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
"ITS1F_LR21","UNITE fungal ITS catalog entry: ITS1F + LR21","source_catalog_entry","kingdom","Fungi","","source_catalog_import","screening_only","its_primary_gardes_bruns_1993|its_primary_hopple_vilgalys_1994|unite_primers","excludes basal fungi and Tulasnella | excludes many Asco- and Basidiomycota · Gardes & Bruns 1993 | Hopple & Vilgalys 1994","ITS_FUNGAL","ITS_CLAIM_8","attributed_database_snapshot","Imported from the versioned UNITE primer snapshot; recommendation and exclusion wording is preserved, not reinterpreted."
